City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Morondava,MG,2021-06-13 21:33:37,-20.2833,44.2833,69.75,79,27,6.71
68,Mirnyy,RU,2021-06-13 21:33:37,62.5353,113.9611,53.51,64,94,4.61
69,Lodja,CD,2021-06-13 21:33:38,-3.4833,23.4333,74.95,48,73,2.75
70,Carnarvon,AU,2021-06-13 21:33:38,-24.8667,113.6333,57.27,72,0,9.22
71,Katsuura,JP,2021-06-13 21:24:49,35.1333,140.3,73.11,92,100,7.85
72,Cabra,ES,2021-06-13 21:32:11,37.4725,-4.4421,80.91,53,0,6.02
73,Mayumba,GA,2021-06-13 21:33:39,-3.432,10.6554,76.01,86,24,4.81
74,Tessalit,ML,2021-06-13 21:25:02,20.1986,1.0114,99.86,9,86,3.71
75,Mar Del Plata,AR,2021-06-13 21:31:38,-38.0023,-57.5575,64.0,74,0,11.99
76,Axim,GH,2021-06-13 21:24:48,4.8699,-2.2405,80.44,83,15,9.26
77,Benghazi,LY,2021-06-13 21:33:40,32.1167,20.0667,72.21,78,0,9.37
78,Shreveport,US,2021-06-13 21:32:50,32.5251,-93.7502,97.25,54,1,5.75
79,Sitka,US,2021-06-13 21:30:23,57.0531,-135.33,62.49,55,40,0.0
80,Ulkan,RU,2021-06-13 21:33:41,57.243,107.3223,53.24,75,100,2.75
81,Hasaki,JP,2021-06-13 21:30:27,35.7333,140.8333,70.29,88,100,10.54
82,Puerto Colombia,CO,2021-06-13 21:30:51,10.9878,-74.9547,84.29,81,23,8.48
83,Hualmay,PE,2021-06-13 21:30:22,-11.0964,-77.6139,66.78,78,17,7.87
84,Vaterstetten,DE,2021-06-13 21:33:42,48.1101,11.7689,58.75,77,1,1.7
85,Hithadhoo,MV,2021-06-13 21:33:42,-0.6,73.0833,82.06,73,100,7.18
86,Saint Anthony,US,2021-06-13 21:33:43,45.0205,-93.218,96.69,23,1,4.0
87,Sorong,ID,2021-06-13 21:33:43,-0.8833,131.25,78.19,86,100,6.4
88,Puerto Ayora,EC,2021-06-13 21:33:44,-0.7393,-90.3518,78.76,74,78,12.15
89,Hobart,AU,2021-06-13 21:30:05,-42.8794,147.3294,54.01,94,75,0.0
90,Castro,BR,2021-06-13 21:33:44,-24.7911,-50.0119,50.43,82,0,3.83
91,Argentan,FR,2021-06-13 21:33:45,48.75,-0.0167,62.37,87,5,5.48
92,Busselton,AU,2021-06-13 21:33:45,-33.65,115.3333,55.09,64,95,25.23
93,Manokwari,ID,2021-06-13 21:33:46,-0.8667,134.0833,78.17,78,100,1.72
94,Russell,US,2021-06-13 21:30:14,32.3502,-85.1999,91.8,55,40,9.22
95,Broome,US,2021-06-13 21:33:46,42.2506,-75.833,84.02,60,40,1.99
96,Grand Baie,MU,2021-06-13 21:33:47,-20.0182,57.5802,74.44,70,42,7.0
97,Haines Junction,CA,2021-06-13 21:24:17,60.7522,-137.5108,64.35,39,23,6.91
98,Manta,EC,2021-06-13 21:33:48,-0.95,-80.7333,80.38,74,75,8.05
99,South Venice,US,2021-06-13 21:33:48,27.0531,-82.4243,89.98,72,40,12.66
100,Trelew,AR,2021-06-13 21:25:11,-43.249,-65.3051,50.25,46,94,10.85
101,Lavrentiya,RU,2021-06-13 21:33:49,65.5833,-171.0,35.65,97,100,9.53
102,Cidreira,BR,2021-06-13 21:33:49,-30.1811,-50.2056,60.01,77,0,8.77
103,Zhangye,CN,2021-06-13 21:33:50,38.9342,100.4517,61.57,50,1,7.74
104,Saint-Philippe,RE,2021-06-13 21:33:50,-21.3585,55.7679,71.15,78,60,13.71
105,Svetlogorsk,BY,2021-06-13 21:33:50,52.6333,29.7333,56.03,87,95,7.07
106,Kabarnet,KE,2021-06-13 21:33:51,0.4919,35.743,54.54,72,29,1.28
107,Cape Town,ZA,2021-06-13 21:30:50,-33.9258,18.4232,55.11,88,41,1.14
108,Chara,RU,2021-06-13 21:33:51,56.9064,118.2631,51.66,92,100,2.66
109,Kalanguy,RU,2021-06-13 21:33:52,51.0167,116.5167,59.65,87,100,6.11
110,Cap Malheureux,MU,2021-06-13 21:33:52,-19.9842,57.6142,74.46,70,46,7.0
111,Kosh-Agach,RU,2021-06-13 21:33:53,50.0,88.6667,37.58,81,26,4.99
112,Krasnyy Chikoy,RU,2021-06-13 21:33:53,50.3643,108.7512,49.59,85,38,2.1
113,Berlevag,NO,2021-06-13 21:24:11,70.8578,29.0864,46.35,81,75,8.05
114,Longyearbyen,SJ,2021-06-13 21:32:31,78.2186,15.6401,33.64,64,75,16.11
115,Port Alfred,ZA,2021-06-13 21:33:54,-33.5906,26.891,64.15,87,50,16.46
116,Hobyo,SO,2021-06-13 21:33:54,5.3505,48.5268,77.45,85,87,24.2
117,Lebu,CL,2021-06-13 21:33:54,-37.6167,-73.65,51.01,82,100,17.09
118,Zorgo,BF,2021-06-13 21:33:55,12.2489,-0.6158,91.15,36,96,7.05
119,Mahebourg,MU,2021-06-13 21:33:55,-20.4081,57.7,74.25,73,40,16.11
120,Mezen,RU,2021-06-13 21:33:56,65.8522,44.24,64.54,64,99,8.72
121,Pangody,RU,2021-06-13 21:33:56,65.85,74.4859,64.71,57,100,9.95
122,Arlit,NE,2021-06-13 21:24:16,18.7369,7.3853,95.0,10,0,15.52
123,Sorland,NO,2021-06-13 21:33:57,67.667,12.6934,46.13,66,98,15.99
124,Eyl,SO,2021-06-13 21:29:58,7.9803,49.8164,79.07,75,99,22.66
125,Mapiripan,CO,2021-06-13 21:33:57,2.8892,-72.1256,77.83,92,52,4.09
126,Matara,LK,2021-06-13 21:33:58,5.9485,80.5353,77.68,89,100,14.03
127,Kutum,SD,2021-06-13 21:24:01,14.2,24.6667,85.84,11,24,9.08
128,Port Lincoln,AU,2021-06-13 21:29:54,-34.7333,135.8667,57.25,79,67,8.12
129,Saskylakh,RU,2021-06-13 21:33:59,71.9167,114.0833,41.47,54,7,10.98
130,Turtas,RU,2021-06-13 21:33:59,58.9417,69.1325,58.06,71,84,4.25
131,Acapulco,MX,2021-06-13 21:34:00,16.8634,-99.8901,84.02,74,75,5.75
132,Anadyr,RU,2021-06-13 21:25:09,64.75,177.4833,43.3,81,75,13.0
133,Taltal,CL,2021-06-13 21:30:10,-25.4,-70.4833,61.7,74,23,5.61
134,Shingu,JP,2021-06-13 21:34:00,33.7333,135.9833,71.91,88,100,4.56
135,Along,IN,2021-06-13 21:34:01,28.1667,94.7667,73.96,98,66,1.86
136,San Patricio,US,2021-06-13 21:24:24,28.017,-97.5169,94.95,41,6,4.7
137,Yellowknife,CA,2021-06-13 21:34:01,62.456,-114.3525,68.56,52,20,13.8
138,Oranjemund,NA,2021-06-13 21:34:02,-28.55,16.4333,56.1,80,9,5.68
139,Souillac,MU,2021-06-13 21:34:02,-20.5167,57.5167,74.35,73,40,16.11
140,Pevek,RU,2021-06-13 21:34:02,69.7008,170.3133,40.1,69,100,2.93
141,Beloha,MG,2021-06-13 21:24:21,-25.1667,45.05,65.12,86,3,2.82
142,Cairns,AU,2021-06-13 21:34:03,-16.9167,145.7667,73.35,94,90,0.0
143,Constitucion,CL,2021-06-13 21:20:29,-35.3333,-72.4167,59.11,84,100,8.84
144,Nerchinskiy Zavod,RU,2021-06-13 21:34:04,51.3088,119.61,60.28,92,100,1.5
145,Provideniya,RU,2021-06-13 21:34:04,64.3833,-173.3,35.82,98,100,14.2
146,Winnemucca,US,2021-06-13 21:34:04,40.973,-117.7357,95.05,11,1,13.8
147,Kisumu,KE,2021-06-13 21:34:05,-0.1022,34.7617,64.53,87,11,3.76
148,Presidente Medici,BR,2021-06-13 21:34:05,-11.1753,-61.9014,77.18,68,5,3.4
149,Pontianak,ID,2021-06-13 21:34:06,-0.0333,109.3333,73.38,100,90,2.3
150,Isangel,VU,2021-06-13 21:34:06,-19.55,169.2667,77.11,94,75,0.0
151,Esperance,AU,2021-06-13 21:34:06,-33.8667,121.9,51.64,74,3,17.81
152,Kloulklubed,PW,2021-06-13 21:34:07,7.0419,134.2556,75.7,76,100,13.18
153,Aasiaat,GL,2021-06-13 21:34:07,68.7098,-52.8699,35.4,85,100,6.29
154,Samarai,PG,2021-06-13 21:34:08,-10.6167,150.6667,80.71,79,37,6.11
155,Valparaiso,CL,2021-06-13 21:22:17,-33.0393,-71.6273,57.43,83,0,3.44
156,Arraial Do Cabo,BR,2021-06-13 21:30:00,-22.9661,-42.0278,69.76,60,40,4.61
157,Lima,PE,2021-06-13 21:34:07,-12.0432,-77.0282,70.9,69,90,5.75
158,Saldanha,ZA,2021-06-13 21:34:09,-33.0117,17.9442,46.45,84,5,3.8
159,Geraldton,AU,2021-06-13 21:30:23,-28.7667,114.6,64.13,77,75,9.22
160,Gorontalo,ID,2021-06-13 21:34:09,0.5412,123.0595,74.1,91,86,3.49
161,Kirakira,SB,2021-06-13 21:34:10,-10.4544,161.9205,82.4,67,73,10.0
162,Khatanga,RU,2021-06-13 21:34:10,71.9667,102.5,42.82,65,100,15.1
163,Poso,ID,2021-06-13 21:34:10,-1.3959,120.7524,76.33,84,84,3.49
164,Broken Hill,AU,2021-06-13 21:34:11,-31.95,141.4333,49.71,76,90,3.44
165,Akdepe,TM,2021-06-13 21:34:11,42.0551,59.3788,84.2,12,0,19.06
166,Koroni,GR,2021-06-13 21:34:12,36.8,21.95,72.07,85,5,9.8
167,Ussuriysk,RU,2021-06-13 21:34:12,43.7986,131.9508,62.42,100,100,3.0
168,Belaya Gora,RU,2021-06-13 21:34:12,68.5333,146.4167,62.53,49,100,10.58
169,Dana Point,US,2021-06-13 21:30:55,33.467,-117.6981,104.05,70,30,5.01
170,Onguday,RU,2021-06-13 21:34:13,50.75,86.15,40.86,93,80,2.19
171,Tiksi,RU,2021-06-13 21:30:36,71.6872,128.8694,38.93,87,100,5.73
172,Kodiak,US,2021-06-13 21:34:14,57.79,-152.4072,53.11,76,40,6.91
