City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Norman Wells,CA,65.282,-126.8329,70.38,38,1,9.13,clear sky
79,Phonhong,LA,18.5007,102.4166,74.88,93,99,1.59,overcast clouds
80,Kenai,US,60.5544,-151.2583,67.03,61,1,11.5,clear sky
81,Hermanus,ZA,-34.4187,19.2345,57.9,88,53,5.28,broken clouds
82,Bluff,NZ,-46.6,168.3333,48.79,90,100,9.95,overcast clouds
83,Bredasdorp,ZA,-34.5322,20.0403,53.85,88,25,3.09,scattered clouds
84,Novyy Urengoy,RU,66.0833,76.6333,52.86,83,100,15.66,overcast clouds
85,Severo-Kurilsk,RU,50.6789,156.125,48.49,76,85,7.87,overcast clouds
86,Rikitea,PF,-23.1203,-134.9692,74.95,79,27,10.07,light rain
87,Teya,RU,60.3778,92.6267,54.28,84,95,4.0,overcast clouds
88,Hilo,US,19.7297,-155.09,84.27,55,20,8.05,few clouds
89,Aklavik,CA,68.2191,-135.0107,76.62,30,63,19.28,broken clouds
90,Comodoro Rivadavia,AR,-45.8667,-67.5,42.31,46,100,6.17,overcast clouds
91,Hambantota,LK,6.1241,81.1185,78.8,83,44,16.08,scattered clouds
92,Margate,GB,51.3813,1.3862,60.69,79,58,9.73,broken clouds
93,Shakawe,BW,-18.3667,21.85,53.01,38,42,2.86,scattered clouds
94,Vestmannaeyjar,IS,63.4427,-20.2734,43.41,71,100,4.9,overcast clouds
95,La Plata,AR,-34.9215,-57.9545,49.98,73,11,7.72,few clouds
96,Harper,LR,4.375,-7.7169,77.4,87,100,8.16,overcast clouds
97,Lucea,JM,18.451,-78.1736,82.85,79,93,9.64,overcast clouds
98,Leningradskiy,RU,69.3833,178.4167,41.31,87,88,5.84,overcast clouds
99,Port Lincoln,AU,-34.7333,135.8667,51.17,89,70,15.21,broken clouds
100,Petatlan,MX,17.5167,-101.2667,85.8,72,100,3.98,overcast clouds
101,Cururupu,BR,-1.8283,-44.8683,74.41,97,9,2.51,clear sky
102,Arraial Do Cabo,BR,-22.9661,-42.0278,69.96,65,0,10.0,clear sky
103,Botou,CN,38.0667,116.5667,72.73,74,97,5.95,overcast clouds
104,Dennery,LC,13.8996,-60.8879,82.49,78,40,21.85,scattered clouds
105,Staritsa,RU,56.5075,34.9354,54.7,91,18,5.59,few clouds
106,Sangar,RU,63.9242,127.4739,63.86,43,15,4.97,few clouds
107,Khatanga,RU,71.9667,102.5,66.94,49,0,7.38,clear sky
108,Ishigaki,JP,24.3448,124.1572,83.97,87,92,18.81,overcast clouds
109,Port Alfred,ZA,-33.5906,26.891,63.46,64,88,8.93,overcast clouds
110,Coquimbo,CL,-29.9533,-71.3436,58.73,72,75,0.0,broken clouds
111,Sao Joao Batista,BR,-27.2761,-48.8494,66.83,95,84,1.66,broken clouds
112,Dodola,ET,6.9833,39.1833,52.83,84,96,2.19,overcast clouds
113,Cabo San Lucas,MX,22.8909,-109.9124,101.52,54,1,14.97,clear sky
114,Jiangyou,CN,31.7667,104.7167,76.6,84,100,3.29,moderate rain
115,Ewa Beach,US,21.3156,-158.0072,84.15,58,40,13.0,scattered clouds
116,Sapanta,RO,47.9667,23.7,61.56,92,70,3.91,broken clouds
